homeTeam,awayTeam,kickOff,stage,status,isKnockout,venue
ZA,CA,2026-06-28T15:00:00-04:00,Round of 32,SCHEDULED,true,BMO Field - Toronto
BR,JP,2026-06-29T13:00:00-04:00,Round of 32,SCHEDULED,true,AT&T Stadium - Arlington
DE,PY,2026-06-29T16:30:00-04:00,Round of 32,SCHEDULED,true,Mercedes-Benz Stadium - Atlanta
NL,MA,2026-06-29T21:00:00-04:00,Round of 32,SCHEDULED,true,SoFi Stadium - Inglewood
CI,NO,2026-06-30T13:00:00-04:00,Round of 32,SCHEDULED,true,Hard Rock Stadium - Miami
FR,SE,2026-06-30T17:00:00-04:00,Round of 32,SCHEDULED,true,Gillette Stadium - Foxborough
MX,EC,2026-06-30T21:00:00-04:00,Round of 32,SCHEDULED,true,Estadio Azteca - Mexico City
EN,CD,2026-07-01T12:00:00-04:00,Round of 32,SCHEDULED,true,Lumen Field - Seattle
BE,SN,2026-07-01T16:00:00-04:00,Round of 32,SCHEDULED,true,NRG Stadium - Houston
US,BA,2026-07-01T20:00:00-04:00,Round of 32,SCHEDULED,true,Levi's Stadium - Santa Clara
ES,AT,2026-07-02T15:00:00-04:00,Round of 32,SCHEDULED,true,Lincoln Financial Field - Philadelphia
PT,HR,2026-07-02T19:00:00-04:00,Round of 32,SCHEDULED,true,Camping World Stadium - Orlando
CH,DZ,2026-07-02T23:00:00-04:00,Round of 32,SCHEDULED,true,BC Place - Vancouver
AU,EG,2026-07-03T14:00:00-04:00,Round of 32,SCHEDULED,true,GEHA Field at Arrowhead Stadium - Kansas City
AR,CV,2026-07-03T18:00:00-04:00,Round of 32,SCHEDULED,true,Estadio BBVA - Monterrey
CO,GH,2026-07-03T21:30:00-04:00,Round of 32,SCHEDULED,true,TQL Stadium - Cincinnati
